10000,-207.5484619,-233.0633087,-235.6077423
20000,-188.5477448,-212.3916168,-202.3445282
30000,-180.7228394,-203.7396545,-188.8590088
40000,-162.2493896,-195.7802734,-180.432251
50000,-148.3095551,-167.5376587,-161.4099426
60000,-123.371315,-144.7732391,-138.9973145
70000,-120.2785339,-107.7875214,-129.2811127
80000,-114.3057404,-89.25351715,-110.5248566
90000,-88.04159546,-78.3560791,-78.28872681
100000,-66.92055511,-57.12797928,-59.92655945
110000,-40.00090408,-46.55252075,-31.44826126
120000,-31.17778778,-47.85396194,-4.692502975
130000,-11.09953785,-39.30240631,19.91192818
140000,0.655511558,-32.02216721,30.18724251
150000,10.33267593,-28.1406765,43.26364899
160000,14.58577919,-16.17225075,49.44609451
170000,12.05450916,-1.463308573,33.82839966
180000,14.329813,25.93932343,27.62554932
190000,23.93742371,16.27472496,31.95973396
200000,27.52820396,13.3541851,25.52082253
210000,41.56764221,43.79744339,27.30975342
220000,32.97034073,40.83269501,15.05833054
230000,42.52207184,46.35542297,16.28734589
240000,57.33568192,74.67798615,53.9587326
250000,70.40491486,66.42948914,77.93432617
260000,74.93686676,87.23568726,90.34455109
270000,90.23133087,79.59898376,100.1934738
280000,93.44426727,89.51290894,79.74943542
290000,104.7685699,85.10933685,79.8914566
300000,131.282074,84.14969635,85.90879822
