10000,-239.28,-250.52,-275.50
20000,-209.07,-229.89,-236.62
30000,-201.33,-218.09,-223.52
40000,-181.57,-206.79,-210.46
50000,-165.56,-179.67,-200.37
60000,-143.52,-148.91,-161.28
70000,-125.60,-131.18,-129.95
80000,-110.05,-94.21,-94.85
90000,-100.26,-61.06,-69.48
100000,-97.64,-48.47,-53.35
110000,-82.20,-35.39,-26.90
120000,-66.39,-17.60,0.88
130000,-38.00,-14.68,31.85
140000,-11.29,-8.55,54.91
150000,13.39,-1.08,62.60
160000,32.98,11.04,73.68
170000,58.70,18.30,76.71
180000,63.30,26.15,75.99
190000,66.34,49.18,76.08
200000,55.92,56.57,77.31
210000,55.29,59.46,80.73
220000,51.30,80.25,82.89
230000,63.48,85.94,89.37
240000,82.83,98.92,88.29
250000,100.45,95.32,89.99
260000,120.92,104.79,82.86
270000,118.23,108.34,79.36
280000,135.16,117.83,81.95
290000,148.16,119.51,86.93
300000,160.88,125.29,98.11
